Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     570( 92.5)       46(  7.5)       0       0       0       0       0       0       0
  2     596( 99.3)        4(  0.7)       0       0       0       0       0       0       0
  3     583( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  4     119( 88.8)       15( 11.2)       0       0       0       0       0       0       0
  5     148( 98.7)        2(  1.3)       0       0       0       0       0       0       0
  6     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     551( 94.3)       33(  5.7)       0       0       0       0       0       0       0
  8     613( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  9     597( 99.5)        3(  0.5)       0       0       0       0       0       0       0
 10     156( 94.0)       10(  6.0)       0       0       0       0       0       0       0
 11     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
 12     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4382( 97.4)      118(  2.6)       0       0       0       0       0       0       0

