Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     616(100.0)        0(  0.0)       0       0       0       0       0       0       0
  2     598( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  3     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     583( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  9     611( 99.2)        5(  0.8)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4491( 99.8)        9(  0.2)       0       0       0       0       0       0       0

