Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     614( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  2     572( 95.2)       29(  4.8)       0       0       0       0       0       0       0
  3     535( 91.6)       49(  8.4)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     141( 94.0)        9(  6.0)       0       0       0       0       0       0       0
  6     159( 95.8)        7(  4.2)       0       0       0       0       0       0       0
  7     574( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  8     572( 92.9)       44(  7.1)       0       0       0       0       0       0       0
  9     571( 95.2)       29(  4.8)       0       0       0       0       0       0       0
 10     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 11     129( 96.3)        5(  3.7)       0       0       0       0       0       0       0
 12     145( 96.7)        5(  3.3)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4311( 95.8)      189(  4.2)       0       0       0       0       0       0       0

