Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     569( 97.4)       15(  2.6)       0       0       0       0       0       0       0
  2     614( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  3     594( 99.0)        6(  1.0)       0       0       0       0       0       0       0
  4     162( 97.6)        4(  2.4)       0       0       0       0       0       0       0
  5     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  7     609( 98.9)        7(  1.1)       0       0       0       0       0       0       0
  8     596( 99.3)        4(  0.7)       0       0       0       0       0       0       0
  9     580( 99.3)        4(  0.7)       0       0       0       0       0       0       0
 10     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4456( 99.0)       44(  1.0)       0       0       0       0       0       0       0

