Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     589( 98.2)       11(  1.8)       0       0       0       0       0       0       0
  2     579( 99.1)        5(  0.9)       0       0       0       0       0       0       0
  3     613( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  4     147( 98.0)        3(  2.0)       0       0       0       0       0       0       0
  5     162( 97.6)        4(  2.4)       0       0       0       0       0       0       0
  6     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     599( 97.2)       17(  2.8)       0       0       0       0       0       0       0
  8     598( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  9     558( 95.5)       26(  4.5)       0       0       0       0       0       0       0
 10     128( 95.5)        6(  4.5)       0       0       0       0       0       0       0
 11     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     163( 98.2)        3(  1.8)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4420( 98.2)       80(  1.8)       0       0       0       0       0       0       0

