Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     581( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  2     608( 98.7)        8(  1.3)       0       0       0       0       0       0       0
  3     595( 99.2)        5(  0.8)       0       0       0       0       0       0       0
  4     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
  5     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  6     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     614( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  8     590( 98.3)       10(  1.7)       0       0       0       0       0       0       0
  9     576( 98.6)        8(  1.4)       0       0       0       0       0       0       0
 10     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     148( 98.7)        2(  1.3)       0       0       0       0       0       0       0
 12     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4460( 99.1)       40(  0.9)       0       0       0       0       0       0       0

