Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     615( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  2     597( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  3     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  4     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  5     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     581( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  9     612( 99.4)        4(  0.6)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 12     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4486( 99.7)       14(  0.3)       0       0       0       0       0       0       0

