Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     581( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  2     615( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  3     586( 97.7)       14(  2.3)       0       0       0       0       0       0       0
  4     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     148( 98.7)        2(  1.3)       0       0       0       0       0       0       0
  7     612( 99.4)        4(  0.6)       0       0       0       0       0       0       0
  8     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  9     531( 90.9)       53(  9.1)       0       0       0       0       0       0       0
 10     131( 97.8)        3(  2.2)       0       0       0       0       0       0       0
 11     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     155( 93.4)       11(  6.6)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4409( 98.0)       91(  2.0)       0       0       0       0       0       0       0

