Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     582( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  2     612( 99.4)        4(  0.6)       0       0       0       0       0       0       0
  3     579( 96.5)       21(  3.5)       0       0       0       0       0       0       0
  4     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
  5     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     144( 96.0)        6(  4.0)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  9     615( 99.8)        1(  0.2)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4465( 99.2)       35(  0.8)       0       0       0       0       0       0       0

