Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     616(100.0)        0(  0.0)       0       0       0       0       0       0       0
  2     591( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  3     578( 99.1)        5(  0.9)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  6     159( 95.8)        7(  4.2)       0       0       0       0       0       0       0
  7     600( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  8     579( 99.1)        5(  0.9)       0       0       0       0       0       0       0
  9     605( 98.2)       11(  1.8)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 12     132( 98.5)        2(  1.5)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4458( 99.1)       42(  0.9)       0       0       0       0       0       0       0

