Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     582( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  2     573( 93.0)       43(  7.0)       0       0       0       0       0       0       0
  3     552( 92.0)       48(  8.0)       0       0       0       0       0       0       0
  4     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     129( 96.3)        5(  3.7)       0       0       0       0       0       0       0
  6     134( 89.3)       16( 10.7)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     550( 94.2)       34(  5.8)       0       0       0       0       0       0       0
  9     589( 95.6)       27(  4.4)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     158( 95.2)        8(  4.8)       0       0       0       0       0       0       0
 12     125( 93.3)        9(  6.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4308( 95.7)      192(  4.3)       0       0       0       0       0       0       0

