Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     570( 97.6)       14(  2.4)       0       0       0       0       0       0       0
  2     573( 93.0)       43(  7.0)       0       0       0       0       0       0       0
  3     547( 91.2)       53(  8.8)       0       0       0       0       0       0       0
  4     162( 97.6)        4(  2.4)       0       0       0       0       0       0       0
  5     127( 94.8)        7(  5.2)       0       0       0       0       0       0       0
  6     140( 93.3)       10(  6.7)       0       0       0       0       0       0       0
  7     611( 99.2)        5(  0.8)       0       0       0       0       0       0       0
  8     546( 91.0)       54(  9.0)       0       0       0       0       0       0       0
  9     561( 96.1)       23(  3.9)       0       0       0       0       0       0       0
 10     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     138( 92.0)       12(  8.0)       0       0       0       0       0       0       0
 12     157( 94.6)        9(  5.4)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4266( 94.8)      234(  5.2)       0       0       0       0       0       0       0

