Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     616(100.0)        0(  0.0)       0       0       0       0       0       0       0
  2     597( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  3     579( 99.1)        5(  0.9)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     163( 98.2)        3(  1.8)       0       0       0       0       0       0       0
  7     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     612( 99.4)        4(  0.6)       0       0       0       0       0       0       0
  9     595( 99.2)        5(  0.8)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4480( 99.6)       20(  0.4)       0       0       0       0       0       0       0

