Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     582( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  2     607( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  3     552( 92.0)       48(  8.0)       0       0       0       0       0       0       0
  4     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  6     135( 90.0)       15( 10.0)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     580( 99.3)        4(  0.7)       0       0       0       0       0       0       0
  9     613( 99.5)        3(  0.5)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 12     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4416( 98.1)       84(  1.9)       0       0       0       0       0       0       0

