Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     495( 84.8)       89( 15.2)       0       0       0       0       0       0       0
  2     380( 61.7)      236( 38.3)       0       0       0       0       0       0       0
  3     146( 24.3)      454( 75.7)       0       0       0       0       0       0       0
  4     138( 83.1)       28( 16.9)       0       0       0       0       0       0       0
  5      76( 56.7)       58( 43.3)       0       0       0       0       0       0       0
  6      40( 26.7)      110( 73.3)       0       0       0       0       0       0       0
  7     294( 47.7)      322( 52.3)       0       0       0       0       0       0       0
  8     124( 20.7)      476( 79.3)       0       0       0       0       0       0       0
  9     178( 30.5)      406( 69.5)       0       0       0       0       0       0       0
 10      69( 51.5)       65( 48.5)       0       0       0       0       0       0       0
 11      31( 20.7)      119( 79.3)       0       0       0       0       0       0       0
 12      54( 32.5)      112( 67.5)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  2025( 45.0)     2475( 55.0)       0       0       0       0       0       0       0

