Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     615( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  2     599( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  3     581( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     599( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  8     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  9     615( 99.8)        1(  0.2)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 12     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4492( 99.8)        8(  0.2)       0       0       0       0       0       0       0

