Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     607( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  2     592( 98.7)        8(  1.3)       0       0       0       0       0       0       0
  3     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  4     128( 95.5)        6(  4.5)       0       0       0       0       0       0       0
  5     148( 98.7)        2(  1.3)       0       0       0       0       0       0       0
  6     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     575( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  8     614( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  9     597( 99.5)        3(  0.5)       0       0       0       0       0       0       0
 10     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 11     132( 98.5)        2(  1.5)       0       0       0       0       0       0       0
 12     148( 98.7)        2(  1.3)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4456( 99.0)       44(  1.0)       0       0       0       0       0       0       0

