Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  2     614( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  3     591( 98.3)       10(  1.7)       0       0       0       0       0       0       0
  4     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  6     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     582( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  9     616(100.0)        0(  0.0)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4486( 99.7)       14(  0.3)       0       0       0       0       0       0       0

