Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     460( 76.8)      139( 23.2)       0       0       0       0       0       0       0
  2     505( 86.6)       78( 13.4)       0       0       0       0       0       0       0
  3     489( 79.4)      127( 20.6)       0       0       0       0       0       0       0
  4     114( 76.0)       36( 24.0)       0       0       0       0       0       0       0
  5     140( 84.3)       26( 15.7)       0       0       0       0       0       0       0
  6     107( 79.9)       27( 20.1)       0       0       0       0       0       0       0
  7     509( 87.2)       75( 12.8)       0       0       0       0       0       0       0
  8     442( 71.8)      174( 28.2)       0       0       0       0       0       0       0
  9     569( 94.7)       32(  5.3)       0       0       0       0       0       0       0
 10     141( 84.9)       25( 15.1)       0       0       0       0       0       0       0
 11     101( 75.4)       33( 24.6)       0       0       0       0       0       0       0
 12     144( 96.0)        6(  4.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  3721( 82.7)      778( 17.3)       0       0       0       0       0       0       0

