Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     581( 96.8)       19(  3.2)       0       0       0       0       0       0       0
  2     531( 91.1)       52(  8.9)       0       0       0       0       0       0       0
  3     584( 94.8)       32(  5.2)       0       0       0       0       0       0       0
  4     147( 98.0)        3(  2.0)       0       0       0       0       0       0       0
  5     150( 90.4)       16(  9.6)       0       0       0       0       0       0       0
  6     130( 97.0)        4(  3.0)       0       0       0       0       0       0       0
  7     570( 97.6)       14(  2.4)       0       0       0       0       0       0       0
  8     580( 94.2)       36(  5.8)       0       0       0       0       0       0       0
  9     576( 95.8)       25(  4.2)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     128( 95.5)        6(  4.5)       0       0       0       0       0       0       0
 12     143( 95.3)        7(  4.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4286( 95.2)      214(  4.8)       0       0       0       0       0       0       0

