Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     580( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  2     605( 98.2)       11(  1.8)       0       0       0       0       0       0       0
  3     569( 94.8)       31(  5.2)       0       0       0       0       0       0       0
  4     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     132( 98.5)        2(  1.5)       0       0       0       0       0       0       0
  6     147( 98.0)        3(  2.0)       0       0       0       0       0       0       0
  7     605( 98.2)       11(  1.8)       0       0       0       0       0       0       0
  8     583( 97.0)       18(  3.0)       0       0       0       0       0       0       0
  9     569( 97.4)       15(  2.6)       0       0       0       0       0       0       0
 10     132( 98.5)        2(  1.5)       0       0       0       0       0       0       0
 11     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
 12     164( 98.8)        2(  1.2)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4401( 97.8)       99(  2.2)       0       0       0       0       0       0       0

