Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     586( 97.7)       14(  2.3)       0       0       0       0       0       0       0
  2     536( 91.9)       47(  8.1)       0       0       0       0       0       0       0
  3     596( 96.8)       20(  3.2)       0       0       0       0       0       0       0
  4     145( 96.7)        5(  3.3)       0       0       0       0       0       0       0
  5     155( 93.4)       11(  6.6)       0       0       0       0       0       0       0
  6     131( 97.8)        3(  2.2)       0       0       0       0       0       0       0
  7     576( 98.6)        8(  1.4)       0       0       0       0       0       0       0
  8     589( 95.6)       27(  4.4)       0       0       0       0       0       0       0
  9     576( 95.8)       25(  4.2)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     126( 94.0)        8(  6.0)       0       0       0       0       0       0       0
 12     146( 97.3)        4(  2.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4328( 96.2)      172(  3.8)       0       0       0       0       0       0       0

