Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       0(error)        0(error)       0       0       0       0       0       0       0
  2     539( 92.3)       45(  7.7)       0       0       0       0       0       0       0
  3     595( 96.7)       20(  3.3)       0       0       0       0       0       0       0
  4       0(error)        0(error)       0       0       0       0       0       0       0
  5     148( 89.2)       18( 10.8)       0       0       0       0       0       0       0
  6     127( 94.8)        7(  5.2)       0       0       0       0       0       0       0
  7     577( 99.0)        6(  1.0)       0       0       0       0       0       0       0
  8     570( 92.5)       46(  7.5)       0       0       0       0       0       0       0
  9     574( 95.7)       26(  4.3)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     127( 94.8)        7(  5.2)       0       0       0       0       0       0       0
 12     146( 97.3)        4(  2.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  3569( 95.2)      179(  4.8)       0       0       0       0       0       0       0

