Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     602( 97.7)       14(  2.3)       0       0       0       0       0       0       0
  2     585( 97.5)       15(  2.5)       0       0       0       0       0       0       0
  3     575( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  4     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  5     147( 98.0)        3(  2.0)       0       0       0       0       0       0       0
  6     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
  7     592( 98.7)        8(  1.3)       0       0       0       0       0       0       0
  8     567( 97.1)       17(  2.9)       0       0       0       0       0       0       0
  9     612( 99.4)        4(  0.6)       0       0       0       0       0       0       0
 10     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
 11     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 12     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4426( 98.4)       74(  1.6)       0       0       0       0       0       0       0

