Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     611( 99.2)        5(  0.8)       0       0       0       0       0       0       0
  2     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  3     575( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  4     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  5     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  6     164( 98.8)        2(  1.2)       0       0       0       0       0       0       0
  7     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     607( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  9     593( 98.8)        7(  1.2)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     131( 97.8)        3(  2.2)       0       0       0       0       0       0       0
 12     148( 98.7)        2(  1.3)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4461( 99.1)       39(  0.9)       0       0       0       0       0       0       0

