Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     612( 99.4)        4(  0.6)       0       0       0       0       0       0       0
  2     597( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  3     576( 98.6)        8(  1.4)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     147( 98.0)        3(  2.0)       0       0       0       0       0       0       0
  6     163( 98.2)        3(  1.8)       0       0       0       0       0       0       0
  7     583(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     594( 96.4)       22(  3.6)       0       0       0       0       0       0       0
  9     587( 97.8)       13(  2.2)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     132( 98.5)        2(  1.5)       0       0       0       0       0       0       0
 12     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4440( 98.7)       59(  1.3)       0       0       0       0       0       0       0

