Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     614( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  2     583( 97.2)       17(  2.8)       0       0       0       0       0       0       0
  3     582( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     144( 96.0)        6(  4.0)       0       0       0       0       0       0       0
  6     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     599( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  8     576( 98.6)        8(  1.4)       0       0       0       0       0       0       0
  9     594( 96.4)       22(  3.6)       0       0       0       0       0       0       0
 10     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
 11     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
 12     128( 95.5)        6(  4.5)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4434( 98.5)       66(  1.5)       0       0       0       0       0       0       0

