Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  2     615( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  3     570( 95.0)       30(  5.0)       0       0       0       0       0       0       0
  4     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     139( 92.7)       11(  7.3)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     584(100.0)        0(  0.0)       0       0       0       0       0       0       0
  9     616(100.0)        0(  0.0)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4458( 99.1)       42(  0.9)       0       0       0       0       0       0       0

