Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     613( 99.5)        3(  0.5)       0       0       0       0       0       0       0
  2     598( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  3     579( 99.3)        4(  0.7)       0       0       0       0       0       0       0
  4     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  5     149( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  6     165( 99.4)        1(  0.6)       0       0       0       0       0       0       0
  7     601(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     580( 99.3)        4(  0.7)       0       0       0       0       0       0       0
  9     613( 99.5)        3(  0.5)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4482( 99.6)       18(  0.4)       0       0       0       0       0       0       0

