Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     491( 81.8)      109( 18.2)       0       0       0       0       0       0       0
  2     498( 85.3)       86( 14.7)       0       0       0       0       0       0       0
  3     614( 99.7)        2(  0.3)       0       0       0       0       0       0       0
  4     121( 80.7)       29( 19.3)       0       0       0       0       0       0       0
  5     142( 85.5)       24( 14.5)       0       0       0       0       0       0       0
  6     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
  7     577( 93.7)       39(  6.3)       0       0       0       0       0       0       0
  8     599( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  9     507( 86.8)       77( 13.2)       0       0       0       0       0       0       0
 10     126( 94.0)        8(  6.0)       0       0       0       0       0       0       0
 11     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 12     142( 85.5)       24( 14.5)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4101( 91.1)      399(  8.9)       0       0       0       0       0       0       0

