Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1       0(error)        0(error)       0       0       0       0       0       0       0
  2     536( 91.8)       48(  8.2)       0       0       0       0       0       0       0
  3     590( 95.9)       25(  4.1)       0       0       0       0       0       0       0
  4       0(error)        0(error)       0       0       0       0       0       0       0
  5     159( 95.8)        7(  4.2)       0       0       0       0       0       0       0
  6     123( 91.8)       11(  8.2)       0       0       0       0       0       0       0
  7     583(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     598( 97.1)       18(  2.9)       0       0       0       0       0       0       0
  9     567( 94.5)       33(  5.5)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     131( 97.8)        3(  2.2)       0       0       0       0       0       0       0
 12     144( 96.0)        6(  4.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  3597( 96.0)      151(  4.0)       0       0       0       0       0       0       0

