Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     504( 86.3)       80( 13.7)       0       0       0       0       0       0       0
  2     601( 97.6)       15(  2.4)       0       0       0       0       0       0       0
  3     500( 95.4)       24(  4.6)       0       0       0       0       0       0       0
  4     146( 88.0)       20( 12.0)       0       0       0       0       0       0       0
  5     129( 96.3)        5(  3.7)       0       0       0       0       0       0       0
  6     112( 92.6)        9(  7.4)       0       0       0       0       0       0       0
  7     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  8     578( 99.1)        5(  0.9)       0       0       0       0       0       0       0
  9     611( 99.2)        5(  0.8)       0       0       0       0       0       0       0
 10     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     164( 98.8)        2(  1.2)       0       0       0       0       0       0       0
 12     134(100.0)        0(  0.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4229( 96.2)      165(  3.8)       0       0       0       0       0       0       0

