Bin   #(%) accepted   #(%) rejected    # F2    # F3    # F4    # F5    # F6    # F7    # F8
  1     607( 98.5)        9(  1.5)       0       0       0       0       0       0       0
  2     600(100.0)        0(  0.0)       0       0       0       0       0       0       0
  3     576( 98.6)        8(  1.4)       0       0       0       0       0       0       0
  4     133( 99.3)        1(  0.7)       0       0       0       0       0       0       0
  5     150(100.0)        0(  0.0)       0       0       0       0       0       0       0
  6     164( 98.8)        2(  1.2)       0       0       0       0       0       0       0
  7     583( 99.8)        1(  0.2)       0       0       0       0       0       0       0
  8     604( 98.1)       12(  1.9)       0       0       0       0       0       0       0
  9     585( 97.5)       15(  2.5)       0       0       0       0       0       0       0
 10     166(100.0)        0(  0.0)       0       0       0       0       0       0       0
 11     128( 95.5)        6(  4.5)       0       0       0       0       0       0       0
 12     147( 98.0)        3(  2.0)       0       0       0       0       0       0       0
____________________________________________________________________________________________________
Total  4443( 98.7)       57(  1.3)       0       0       0       0       0       0       0

